City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,AQI_Bucket
Chennai,26/08/2015,39.91,27.994,7.39,13.23,17.04,25.41,1.24,13.06,16.24,2.165,4.6850000000000005,1.12,66.0548275862069,Satisfactory
Chennai,26/08/2016,38.63,29.328,7.76,13.13,14.95,39.056666666666665,1.02,4.93,17.15,1.4,5.2,1.12,63.89206896551725,Satisfactory
Chennai,26/08/2017,41.58,30.662,5.37,12.14,8.9,52.70333333333333,0.53,5.23,16.03,0.22,0.21,1.12,68.87655172413793,Satisfactory
Chennai,26/08/2018,32.83,31.996,9.18,16.09,25.26,66.35,0.8,14.06,8.98,0.0,1.74,1.12,54.092068965517235,Satisfactory
Chennai,26/08/2019,17.46,33.33,5.63,17.31,22.87,21.26,0.62,6.22,35.29,0.05,0.16,1.12,29.1,Good
Chennai,26/09/2015,65.79,32.728,16.61,9.7,20.27,23.06,1.79,12.36,47.29,3.88,1.2,1.12,117.35206896551726,Moderate
Chennai,26/09/2016,33.32,32.126,13.8,17.58,18.15,28.98,0.07,2.51,39.31,0.48,0.75,1.12,54.92,Satisfactory
Chennai,26/09/2017,69.26,31.524,14.5,24.7,21.45,34.9,0.12,18.8,32.34,0.09,0.07,1.12,129.19793103448276,Moderate
Chennai,26/09/2018,61.73,30.922,11.06,14.65,25.69,40.82,0.94,6.47,16.79,0.04,0.23,1.12,103.49206896551723,Moderate
Chennai,26/09/2019,14.27,30.32,4.7,10.79,13.38,24.95,0.93,6.36,48.1,0.05,1.9,1.12,23.783333333333335,Good
Chennai,26/10/2015,46.79,46.532,10.0,12.05,17.04,71.95,0.98,8.23,57.43,1.6300000000000001,5.9,1.12,77.67965517241379,Satisfactory
Chennai,26/10/2016,92.64,62.744,6.37,26.51,14.45,85.28,0.27,20.69,49.15,3.21,9.9,1.12,206.59862068965518,Poor
Chennai,26/10/2017,25.9,78.95599999999999,15.23,19.04,18.49,98.61,0.79,17.26,14.36,0.08,0.56,1.12,43.166666666666664,Good
Chennai,26/10/2018,72.24,95.168,10.48,19.89,28.88,103.82,2.03,8.35,25.47,0.54,0.32,1.12,139.3710344827586,Moderate
Chennai,26/10/2019,95.49,111.38,15.05,17.79,22.53,22.28,0.73,9.38,30.06,0.0,0.82,1.12,216.32793103448273,Poor
Chennai,26/11/2015,36.82,106.03399999999999,4.97,8.01,11.06,68.35,0.99,4.03,65.25,0.13,0.615,1.12,60.83379310344827,Satisfactory
Chennai,26/11/2016,82.55,100.688,6.37,33.89,20.48,182.995,0.19,3.95,40.86,0.26,0.41,1.12,174.56724137931033,Moderate
Chennai,26/11/2017,57.36,95.342,6.32,20.3,15.45,297.64,0.65,11.31,29.54,0.64,1.43,1.12,95.53931034482758,Satisfactory
Chennai,26/11/2018,81.75,89.99600000000001,11.61,24.37,35.11,30.88,1.05,6.7,46.88,0.28,0.17,1.12,171.83620689655174,Moderate
Chennai,26/11/2019,53.33,84.65,7.52,21.97,26.56,48.86,0.52,8.19,33.72,0.0,0.48,1.12,88.72999999999999,Satisfactory
Chennai,26/12/2015,71.81,82.546,8.24,12.18,19.83,275.78,0.76,2.2,23.4,0.6566666666666666,1.2200000000000002,1.12,137.90310344827589,Moderate
Chennai,26/12/2016,75.765,80.44200000000001,11.495000000000001,18.725,21.59,218.46499999999997,0.0,8.395,30.365,1.3133333333333332,1.9600000000000002,1.12,151.4046551724138,Moderate
Chennai,26/12/2017,79.72,78.338,14.75,25.27,23.35,161.15,0.29,14.59,37.33,1.97,2.7,1.12,164.9062068965517,Moderate
Chennai,26/12/2018,96.38,76.234,9.95,16.16,25.49,56.87,0.93,9.28,36.73,0.15,1.82,1.12,219.36620689655172,Poor
Chennai,26/12/2019,58.43,74.13,10.48,20.28,30.75,84.51,0.72,18.7,27.5,0.25,0.75,1.12,97.34724137931035,Satisfactory
Chennai,27/01/2015,50.46,74.98166666666665,8.83,12.63,13.41,4.28,1.16,7.14,27.02,2.81,3.735,1.12,83.88068965517242,Satisfactory
Chennai,27/01/2016,42.49,75.83333333333333,9.97,18.3,17.33,168.71,1.38,3.39,32.57,5.37,6.72,1.12,70.41413793103449,Satisfactory
Chennai,27/01/2017,36.16,76.685,4.98,10.03,9.11,134.925,0.0,1.78,15.93,0.16,0.06,1.12,59.71862068965517,Satisfactory
Chennai,27/01/2018,79.6,77.53666666666666,11.77,19.89,16.59,101.14,0.89,7.26,40.58,1.2,2.54,1.12,164.4965517241379,Moderate
Chennai,27/01/2019,16.58,78.38833333333332,5.53,10.66,16.2,65.49,0.97,10.56,22.97,0.1,0.5,1.12,27.633333333333333,Good
Chennai,27/01/2020,47.26,79.24,11.22,18.37,29.51,44.6,1.08,8.09,31.54,2.24,0.06,1.12,78.47379310344827,Satisfactory
Chennai,27/02/2015,49.525,78.04166666666666,10.16,11.24,12.99,58.05,0.97,7.77,40.47,1.4600000000000002,6.49,1.12,82.30086206896551,Satisfactory
Chennai,27/02/2016,51.79,76.84333333333333,8.99,11.31,12.48,75.88,1.44,3.02,17.04,0.68,2.0,1.12,86.12793103448276,Satisfactory
Chennai,27/02/2017,59.53,75.645,5.22,6.09,7.38,93.71000000000001,0.01,4.48,19.94,0.09,0.22,1.12,99.20586206896553,Satisfactory
Chennai,27/02/2018,73.78,74.44666666666666,9.38,15.12,12.95,111.54,0.66,10.04,45.08,0.47,3.17,1.12,144.62827586206896,Moderate
Chennai,27/02/2019,33.9,73.24833333333333,6.01,10.65,16.65,18.24,0.89,8.94,17.23,0.03,0.05,1.12,55.9,Satisfactory
Chennai,27/02/2020,42.97,72.05,6.89,8.7,15.26,41.23,0.67,8.79,31.47,1.12,0.0,1.12,71.2251724137931,Satisfactory
Chennai,27/03/2015,266.29,60.144999999999996,39.96,50.12,20.48,11.51,1.27,25.45,27.64,1.37,8.35,1.12,407.079156626506,Severe
Chennai,27/03/2016,63.03,48.239999999999995,5.29,7.26,8.55,166.96,0.65,3.15,33.42,1.62,6.79,1.12,107.93,Moderate
Chennai,27/03/2017,60.44,36.335,4.25,10.84,8.29,95.79,0.03,2.76,28.02,0.07,0.0,1.12,,
Chennai,27/03/2018,51.77,24.43,9.44,19.36,13.31,24.62,1.07,7.14,12.2,1.12,2.12,1.12,86.09413793103448,Satisfactory
Chennai,27/03/2019,33.41,12.524999999999999,7.09,13.74,22.99,2.79,0.92,6.04,37.94,0.0,0.05,1.12,55.07206896551723,Satisfactory
Chennai,27/03/2020,27.6,0.62,5.71,4.85,9.8,44.96,0.51,5.09,33.97,7.92,0.09,1.12,46.00000000000001,Good
Chennai,27/04/2015,67.8,20.10666666666667,21.79,26.61,8.07,15.0,12.02,0.91,30.67,8.55,1.7400000000000002,1.12,124.21379310344827,Moderate
Chennai,27/04/2016,56.99,39.593333333333334,5.62,15.37,11.31,82.4,0.76,3.41,27.37,1.43,3.39,1.12,94.91413793103449,Satisfactory
Chennai,27/04/2017,59.63,59.080000000000005,2.78,10.99,9.24,77.22,0.08,6.62,28.98,0.99,1.41,1.12,99.3748275862069,Satisfactory
Chennai,27/04/2018,42.33,78.56666666666668,11.77,31.66,23.4,72.04,0.88,5.02,22.95,2.05,9.3,1.12,70.14379310344827,Satisfactory
Chennai,27/04/2019,25.49,98.05333333333334,5.86,11.24,17.1,1.75,1.01,6.68,13.31,0.18,0.16,1.12,42.483333333333334,Good
Chennai,27/04/2020,10.46,117.54000000000002,6.7,6.92,12.96,33.16,0.75,4.29,37.34,0.22,0.0,1.12,17.433333333333337,Good
